_id,address,area,city,name,platform,timing,url
6930b3749c75f684c3f6ee51,,,,"Doctors Plaza, The Plaza Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/doctors-plaza-the-plaza-hospital/do-talwar
6930b3749c75f684c3f6ee52,,,,"Saifee Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/saifee-hospital/north-nazimabad
6930b3749c75f684c3f6ee53,,,,"Neuro Care Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/neuro-care-clinic/pechs
6930b37b9c75f684c3f6ee54,,,,"Zubaida Medical Centre, Karachi",marham,,https://www.marham.pk/hospitals/karachi/zubaida-medical-centre/dharoji
6930b37b9c75f684c3f6ee55,,,,"Hira Medical Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/hira-medical-center/fb-area
6930b37b9c75f684c3f6ee56,,,,"Omi Hospital - Saddar, Karachi",marham,,https://www.marham.pk/hospitals/karachi/omi-hospital-saddar/depot-lines-saddar
6930b37b9c75f684c3f6ee57,,,,"Khizar Specialist Clinic & Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/khizar-specialist-clinic-hospital/shah-faisal-town
6930b37b9c75f684c3f6ee58,,,,"Patel Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/patel-hospital/gulshan-e-iqbal
6930b37b9c75f684c3f6ee59,,,,"Psycho Social Centre, Karachi",marham,,https://www.marham.pk/hospitals/karachi/psycho-social-centre/clifton
6930b3829c75f684c3f6ee5a,,,,"The Kidney Centre, Karachi",marham,,https://www.marham.pk/hospitals/karachi/the-kidney-centre/cantt
6930b3829c75f684c3f6ee5b,,,,"We Care Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/we-care-clinic/dha-phase-5
6930b3829c75f684c3f6ee5c,,,,"M Rab Medical Center, Karachi",marham,,https://www.marham.pk/hospitals/karachi/m-rab-medical-center/gulshan-e-iqbal
6930b3829c75f684c3f6ee5d,,,,"JK Health Link, Karachi",marham,,https://www.marham.pk/hospitals/karachi/jk-health-link/clifton
6930b3829c75f684c3f6ee5e,,,,"Ziauddin Hospital, Karachi",marham,,https://www.marham.pk/hospitals/karachi/ziauddin-hospital/north-nazimabad
6930b3829c75f684c3f6ee5f,,,,"Child Care Clinic, Karachi",marham,,https://www.marham.pk/hospitals/karachi/child-care-clinic/near-yadgar-fish
